record_id,title,exclusion_stage,exclusion_reason
R013,Construction of an Innovation Information Mining Platform Integrating Knowledge Graph,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R031,A Process Mining Tool for Supporting IoT Security,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R048,npm-filter: Automating the mining of dynamic information from npm packages,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R055,A Tool for Automatic Generation of Data Mining Practice Environments,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R056,Dynamic Data Processing on Edge Locations of CDN Network,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R058,Quality-Aware DevOps Research: Where Do We Stand?,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R062,Realization of Data Analytics Projects in Manufacturing Using a Microservice-Based Approach,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R063,MicroRec: Leveraging Large Language Models for Microservice Recommendation,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R065,Does Your Configuration Code Smell?,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R068,Characterizing Defective Configuration Scripts Used for Continuous Deployment,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R069,A Graph-Based Dataset of Commit History of Real-World Android apps,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R070,ReCover: a Curated Dataset for Regression Testing Research,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R071,An Empirical Study on Program Failures of Deep Learning Jobs,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R072,Automated Application Deployment on Multi-Access Edge Computing: A Survey,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R075,"Amazon Web Services in Action, Third Edition: An in-depth guide to AWS",Phase 1 - Screening,"Commercial eBook (Manning), not peer-reviewed"
R076,Actionsremaker: Reproducing GITHUB Actions,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R078,EMTk - The Emotion Mining Toolkit,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R079,Data Mining Methods and Techniques for Fault Detection and Predictive Maintenance in Housing and Utility Infrastructure,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R080,Empirical Study of Restarted and Flaky Builds on Travis CI,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R081,Candela: A Cloud Platform for Copernicus Earth Observation Data Analytics,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R082,Boidae: Your Personal Mining Platform,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R083,Prevention Against DDoS,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R088,Crashing Simulated Planes is Cheap: Can Simulation Detect Robotics Bugs Early?,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R089,Modern Release Engineering in a Nutshell -- Why Researchers Should Care,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R090,An Empirical Study on Power Consumption of Decentralised Identity Management Systems,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R091,Application of Machine Learning for Operational Forecasting and Compliance Control in Underground Mining,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R093,Well Begun is Half Done: An Empirical Study of Exploitability & Impact of Base-Image Vulnerabilities,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R095,Building Resilient CICD Pipelines: A DevOps Security-First Framework,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
